step,species,genotypeID,agentIndex,x,y,vx,vy,alive,msg0,msg1,receivedMessage0,receivedMessage1,move0,move1,nearestEnemyDist,nearestAllyDist,visibleEnemyCount,visibleAllyCount
0,prey,11,11,-1.9271502494812012,-7.564623832702637,-6.829953781561926e-05,-2.3894801415735856e-05,True,2.5843982696533203,-1.9430947303771973,0.0,0.0,4.099241733551025,-0.7585022449493408,4.0,1.6909579038619995,0,2
0,prey,12,12,-6.395512580871582,3.489427089691162,-6.829953781561926e-05,-2.3894801415735856e-05,True,-0.7477606534957886,-1.1342885494232178,0.0,0.0,5.100151538848877,-0.4936073422431946,3.7915139198303223,2.376807689666748,1,3
0,prey,13,13,-2.492549180984497,5.411461353302002,-6.829953781561926e-05,-2.3894801415735856e-05,True,4.298952579498291,-1.2077833414077759,0.0,0.0,4.149382591247559,-5.892265796661377,3.841095447540283,1.9181023836135864,1,2
0,prey,14,14,5.646023750305176,4.142843723297119,-6.829953781561926e-05,-2.3894801415735856e-05,True,0.8094052076339722,1.8387831449508667,0.0,0.0,4.298107147216797,-3.948305130004883,4.0,3.640653371810913,0,1
0,prey,15,15,4.573153495788574,-3.358448028564453,-6.829953781561926e-05,-2.3894801415735856e-05,True,-3.22353196144104,-0.5262236595153809,0.0,0.0,5.365675449371338,-3.5599212646484375,4.0,3.075590133666992,0,2
1,predator,0,0,-5.6399407386779785,7.614136695861816,-0.2442290037870407,-0.24420830607414246,True,-6.4573259353637695,3.981072187423706,4.613120079040527,-1.6338138580322266,-2.0464580059051514,2.505206346511841,0.47130778431892395,4.0,3,0
1,predator,1,1,8.939992904663086,-4.996032238006592,0.24254916608333588,0.11021741479635239,True,-6.967965126037598,0.18391621112823486,0.0,0.0,1.2756526470184326,2.146644115447998,0.7525525093078613,4.0,1,0
1,predator,2,2,-9.70298957824707,1.6373357772827148,0.24421018362045288,-0.2442084699869156,True,-0.4914785623550415,1.6172394752502441,0.12152707576751709,-3.3030667304992676,0.3943910002708435,4.950989246368408,1.577074408531189,4.0,3,0
1,predator,3,3,-5.808398723602295,-1.825796365737915,0.24421018362045288,-0.2442084699869156,True,3.136543035507202,-0.3013315200805664,4.613120079040527,-1.6338138580322266,-1.1483128070831299,-2.429896831512451,1.6613280773162842,4.0,3,0
1,prey,0,0,4.967789173126221,0.5636002421379089,0.34415432810783386,-0.34424522519111633,True,6.639904022216797,1.1533966064453125,0.1371210217475891,0.012883424758911133,2.7239527702331543,-4.38678503036499,4.0,3.640653371810913,0,2
1,prey,1,1,-5.401977062225342,8.02095890045166,0.34415432810783386,-0.34424522519111633,True,3.181486129760742,1.691681146621704,1.3527699708938599,-0.22847695648670197,5.749107360839844,-3.003936767578125,0.47130778431892395,2.2819485664367676,1,2
